Product ID,sku,Product name,Total click count
8.83E+12,PBEL6000,Platform Bed / Bed Frame - Queen,37
8.83E+12,PBEL7800,Platform Bed / Bed Frame - King,33
9.13E+12,AJCQ14DWJ,"GE AJCQ14DWJ 26"" Built-In Thru the Wall Smart Air Conditioner with 3-Speed Fan,Electronic Cap Touch Controls, Large LCD Auto-Dimming Display,and Cooling BTU of 14,000 BTU,R32,9.3 EER, 230/208v/1ph",26
9.13E+12,AJCQ10AWJ,"GE AJCQ10AWJ 26"" Built-In Thru the Wall Smart Air Conditioner with 3-Speed Fan, Electronic Touch Controls, and  Cooling Capacity of  10,000 BTU, 10.6 EER, R32, 115v/1ph",26
9.13E+12,AJCQ12DWJ,"GE AJCQ12DWJ 26"" Built-In Thru the Wall Smart Air Conditioner with 3-Speed Fan, Large LCD Auto-Dimming Display, Electronic Cap Touch Controls, and Cooling Capacity of 12,000 BTU, R32, 10.5 EER, 230/208v/1ph",23
9.13E+12,AKCQ12ACJ,"GE AKCQ12ACJ 24"" Built-In Thru-the-Wall Air Conditioner with 3-Speed Fan, Large LCD Display, Cooling Capacity of 12,000 BTU, 10.5 EER, R32, 115v",21
9.13E+12,AKEQ14DCJ,"GE AKEQ14DCJ 24"" Built-In Thru the Wall Air Conditioner with 3-Speed Fan, 6-Way Directional Airflow, and Cooling Capacity of 14,000 BTU, 9.3 EER, R32, 230/208v",20
9.13E+12,AKCQ14DCJ,"GE AKCQ14DCJ 24"" Built-In Thru-the-Wall Air Conditioner with 3-speed Fan, Large LCD Display, and Infrared Remote Control, Cooling Capacity of 14,000 BTU, 9.3 EER, R32, 230/208v",18
8.98E+12,SGCO-1,"Serv-Ware SGCO-1 38.11” Stainless Steel Single-Deck Convection Oven, Gas, 54,000 BTU/H",18
8.82E+12,EFT-32,"Winco EFT-32 Electric Twin Well Fryer, 32 Lbs Capacity, 120V",18
8.82E+12,XDBCBP-6,"Hospitality 1 Source XDBCBP-6 Transporter Bellman's Cart — Brass- 6"" pneumatic wheels",17
9.13E+12,AJCQ10DWJ,"GE AJCQ10DWJ 26"" Thru the Wall Smart Air Conditioner with 3-Speed Fan, Electronic Cap Touch Controls, Large LCD Auto-Dimming Display, and Cooling Capacity of 10,000 BTU, 10.6 EER, R32, 230/208v/1ph",16
8.98E+12,SGR-6B,"Serv-Ware SGR-6B 36"" Stainless Steel 6 Burner Range with 2 Ovens, Natural Gas, 31,000 BTU",16
9.13E+12,AKCQ08ACJ,"GE AKCQ08ACJ 24"" Built-In Thru the Wall Air Conditioner with 3-Speed Fan, Large LCD Display, and Cooling Capacity of : 8,000 BTU, 10.6 EER, R32, 115v/1ph",15
